file_name,batch,panel,donor_id,group,treatment
Data23_Panel3_base_HD1.fcs,Data23,Panel3,HD1,HD,base
Data23_Panel3_base_HD2.fcs,Data23,Panel3,HD2,HD,base
Data23_Panel3_base_HD3.fcs,Data23,Panel3,HD3,HD,base
Data23_Panel3_base_HD4.fcs,Data23,Panel3,HD4,HD,base
Data23_Panel3_base_HD5.fcs,Data23,Panel3,HD5,HD,base
Data23_Panel3_base_NR1.fcs,Data23,Panel3,NR1,NR,base
Data23_Panel3_base_NR2.fcs,Data23,Panel3,NR2,NR,base
Data23_Panel3_base_NR3.fcs,Data23,Panel3,NR3,NR,base
Data23_Panel3_base_NR4.fcs,Data23,Panel3,NR4,NR,base
Data23_Panel3_base_NR5.fcs,Data23,Panel3,NR5,NR,base
Data23_Panel3_base_R1.fcs,Data23,Panel3,R1,R,base
Data23_Panel3_base_R2.fcs,Data23,Panel3,R2,R,base
Data23_Panel3_base_R3.fcs,Data23,Panel3,R3,R,base
Data23_Panel3_base_R4.fcs,Data23,Panel3,R4,R,base
Data23_Panel3_base_R5.fcs,Data23,Panel3,R5,R,base
Data29_Panel3_base_HD6.fcs,Data29,Panel3,HD6,HD,base
Data29_Panel3_base_HD7.fcs,Data29,Panel3,HD7,HD,base
Data29_Panel3_base_HD8.fcs,Data29,Panel3,HD8,HD,base
Data29_Panel3_base_HD9.fcs,Data29,Panel3,HD9,HD,base
Data29_Panel3_base_HD10.fcs,Data29,Panel3,HD10,HD,base
Data29_Panel3_base_NR6.fcs,Data29,Panel3,NR6,NR,base
Data29_Panel3_base_NR7.fcs,Data29,Panel3,NR7,NR,base
Data29_Panel3_base_NR8.fcs,Data29,Panel3,NR8,NR,base
Data29_Panel3_base_NR9.fcs,Data29,Panel3,NR9,NR,base
Data29_Panel3_base_R6.fcs,Data29,Panel3,R6,R,base
Data29_Panel3_base_R7.fcs,Data29,Panel3,R7,R,base
Data29_Panel3_base_R8.fcs,Data29,Panel3,R8,R,base
Data29_Panel3_base_R9.fcs,Data29,Panel3,R9,R,base
Data29_Panel3_base_R10.fcs,Data29,Panel3,R10,R,base
Data29_Panel3_base_R11.fcs,Data29,Panel3,R11,R,base
